Measure,Slot,VIBRA LEFT 1,VIBRA RIGHT 1,VIBRA LEFT 2,VIBRA RIGHT 2,VIBRA LEFT 3,VIBRA RIGHT 3,VIBRA LEFT 4,VIBRA RIGHT 4,VIBRA LEFT 5,VIBRA RIGHT 5,VIBRA LEFT 6,VIBRA RIGHT 6,VIBRA LEFT 7,VIBRA RIGHT 7,VIBRA LEFT 8,VIBRA RIGHT 8,VIBRA LEFT 9,VIBRA RIGHT 9,VIBRA LEFT 10,VIBRA RIGHT 10,VIBRA LEFT 11,VIBRA RIGHT 11,CYMBAL L,CYMBAL R,KICK L,KICK R,SNARE L,SNARE R,HIHAT L,HIHAT R,BASS L 1,BASS R 1,BASS L 2,BASS R 2,BASS L 3,BASS R 3,BASS L 4,BASS R 4
,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,95,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,
,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,97,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,NOTE HERE,
,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,101,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,
,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,103,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,NOTE HERE
,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,105,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,
,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,
,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,111,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,
,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,113,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,NOTE HERE,
,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,117,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,
,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,119,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,NOTE HERE
,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,121,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,
,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,
,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,
,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,129,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,NOTE HERE,,,,,,,
,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,133,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,NOTE HERE,,,,,NOTE HERE,,,,,,
,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,137,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,NOTE HERE,,,,,,NOTE HERE,,,,,,,
,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,141,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,,,,,
,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,143,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,NOTE HERE,,,,,,,,
,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,
BAR,145,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,NOTE HERE,NOTE HERE,,,,,,,,,,,,,
,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,
,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,NOTE HERE,,,,,
,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,149,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,NOTE HERE,,,,,,,NOTE HERE,,,,
,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,NOTE HERE,,,
,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,153,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,NOTE HERE,,,,,,,,,,,NOTE HERE,,
,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,NOTE HERE,
,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,157,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,,,,,NOTE HERE
,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,
,159,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,NOTE HERE,,,,,,,,
,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,
BAR,161,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,NOTE HERE,,,,,,,,,,,,,
,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
